iter	Logloss	Accuracy
443	0.2316886867	0.8965860327
444	0.2316450245	0.8966164129
445	0.2316272799	0.8966316029
446	0.2315866355	0.8967151483
447	0.2315530793	0.896654388
448	0.2315314046	0.8966999582
449	0.2314935171	0.8966316029
450	0.2314618737	0.8967910986
451	0.2314325269	0.8968062887
452	0.231394937	0.8968442639
453	0.231375512	0.896882239
454	0.231363686	0.8968138837
455	0.2313305966	0.896882239
456	0.2313003917	0.8969429993
457	0.2312861612	0.8969505943
458	0.2312527926	0.8969505943
459	0.2312269652	0.8969657844
460	0.2312051586	0.8969733794
461	0.2311733153	0.8970189496
462	0.2311501898	0.8970569248
463	0.231103189	0.8970797099
464	0.2310682247	0.897102495
465	0.2310426527	0.8970645198
466	0.2310292362	0.8970721148
467	0.2310118872	0.8970113546
468	0.2309736245	0.8970721148
469	0.2309470524	0.8970645198
470	0.2309217084	0.897117685
471	0.2309016118	0.8971328751
472	0.2308677202	0.89711009
473	0.230845949	0.8971252801
474	0.2308158334	0.8971632552
475	0.2307845896	0.897117685
476	0.2307400583	0.8971784453
477	0.2307042062	0.8972240155
478	0.2306767989	0.8972468006
479	0.230646156	0.8972619907
480	0.2306153148	0.8972088254
481	0.230587278	0.8972468006
482	0.2305679642	0.8972468006
483	0.2305318024	0.8972695857
484	0.2305111764	0.8973531311
485	0.2304852822	0.897330346
486	0.2304250682	0.8973531311
487	0.230387484	0.8973987012
488	0.2303498997	0.8974290814
489	0.2303166604	0.8973759162
490	0.230291782	0.8973607261
491	0.2302696052	0.8974594615
492	0.2302433555	0.8974898416
493	0.2302085055	0.8975202218
494	0.2301875836	0.8974898416
495	0.2301658163	0.8975430069
496	0.2301406637	0.8974594615
497	0.2301223223	0.8974670565
498	0.2300948031	0.8975202218
499	0.2300679057	0.897565792
500	0.2300387632	0.8975581969
501	0.230017063	0.8975354118
502	0.2299906638	0.8975430069
503	0.2299550063	0.8975354118
504	0.2299318315	0.8975354118
505	0.2299024122	0.8974898416
506	0.2298611034	0.8975278168
507	0.2298333019	0.8975430069
508	0.2298017553	0.8974974367
509	0.2297698616	0.8975581969
510	0.229743382	0.8975354118
511	0.2297171775	0.8975126267
512	0.2296813565	0.8976113622
513	0.2296591234	0.8976189572
514	0.2296290258	0.8976569324
515	0.2296019234	0.8977025026
516	0.2295833765	0.8976873125
517	0.2295637229	0.8976873125
518	0.2295352668	0.8976189572
519	0.2295002331	0.8976493373
520	0.2294816477	0.8976341473
521	0.229444472	0.8976873125
522	0.2294135472	0.8977860479
523	0.2293852992	0.8978316181
524	0.2293687735	0.8978240231
525	0.2293397814	0.8978164281
526	0.2293135891	0.8978316181
527	0.2292849632	0.8978544032
528	0.2292636618	0.8979607337
529	0.229245407	0.8979227585
530	0.2291857793	0.8979911138
531	0.2291601373	0.8980063039
532	0.2291369598	0.8980670641
533	0.2291020079	0.898036684
534	0.2290861596	0.8980670641
535	0.229053745	0.8981050393
536	0.2290130659	0.8981506095
537	0.2289778336	0.8981885847
538	0.2289451669	0.8981733946
539	0.2289182392	0.8982189648
540	0.2288854118	0.8982037747
541	0.2288616971	0.8982113698
542	0.2288318496	0.8982113698
543	0.2288027664	0.8982037747
544	0.2287772877	0.8981733946
545	0.2287532903	0.8982037747
546	0.2287275994	0.898264535
547	0.2287064822	0.8982797251
548	0.228685776	0.8982493449
549	0.2286665114	0.8982417499
550	0.228636087	0.8981961797
551	0.2286196553	0.8982037747
552	0.2285946795	0.8982189648
553	0.2285662986	0.8982189648
554	0.228541566	0.8982113698
555	0.2285037217	0.89825694
556	0.2284739218	0.8982949151
557	0.2284404576	0.8983025102
558	0.2284099786	0.8983860555
559	0.2283785758	0.8984164357
560	0.2283445451	0.8983860555
561	0.2283163281	0.8983784605
562	0.2282955683	0.8983404853
563	0.2282718472	0.8983556754
564	0.2282334033	0.8983860555
565	0.2282127895	0.8983860555
566	0.2281838532	0.8983784605
567	0.2281576505	0.8984088406
568	0.22813678	0.8984316257
569	0.2281136905	0.8984392207
570	0.2280833868	0.898499981
571	0.2280524716	0.8985151711
572	0.2280260261	0.8985531462
573	0.2279913662	0.8985379562
574	0.2279635395	0.8985531462
575	0.2279410205	0.8985683363
576	0.2279218121	0.8985759313
577	0.2278908706	0.8986139065
578	0.2278631661	0.8985607413
579	0.2278370652	0.8986290966
